"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id","company_id","company_type"
"Công ty TNHH Nguyễn Sáng Quang","số 40, đường Huỳnh Ðan Tố","phường Thanh Xuân Nam, quận Thanh Xuân","Hà Nội","VN-HN","100000","84","02445001432","0931621346","hotro@nguyensangquang.vn","nguyensangquang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0181523838","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Trúc","số 48, hẻm 72","đường Hoàng Viên Trung, phường Phạm Ngũ Lão, quận Quận 1","Hồ Chí Minh","VN-SG","700000","84","02197119281","0993995629","hotro@nguyentruc.vn","nguyentruc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0328519148","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Vũ","số 676, đường Nguyễn Uy Yên","phường 9, quận Quận 3","Hồ Chí Minh","VN-SG","700000","84","028777978262","0872088528","hotro@dangvu.vn","dangvu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0322091556","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Lam Thông Kiên","số 818, xóm 2","thôn 1, xã Gia Đức, huyện Thủy Nguyên","Hải Phòng","VN-HP","180000","84","022545050309","0967328556","hotro@phamlamthongkien.vn","phamlamthongkien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0214850137","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Khuê","số 575, hẻm 16","đường Nguyễn Phước Hải, phường Bạch Đằng, quận Hai Bà Trưng","Hà Nội","VN-HN","100000","84","02454107578","0909251161","hotro@nguyenkhue.vn","nguyenkhue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0127950077","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Hạnh Tiểu","số 894, đường Uyên Tấn","phường Bến Thành, quận Quận 1","Hồ Chí Minh","VN-SG","700000","84","0276777937225","0910712207","hotro@nguyenhanhtieu.vn","nguyenhanhtieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0317120634","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Cung Lương","số 751, xóm 7","thôn Thi Bội, xã Chu Minh, huyện Ba Vì","Hà Nội","VN-HN","100000","84","02424761941","0994718153","hotro@phamcungluong.vn","phamcungluong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0157234891","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Vượng Long","số 997, đường Võ Chiến Cẩm","thị trấn Kim Bài, huyện Thanh Oai","Hà Nội","VN-HN","100000","84","024777909794","0929714632","hotro@phanvuonglong.vn","phanvuonglong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0146216015","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Thy","số 815, xóm 9","thôn 5, xã Long Thới, huyện Nhà Bè","Hồ Chí Minh","VN-SG","700000","84","020854102868","0896944489","hotro@lethy.vn","lethy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0378408871","UIT.IS336.L12.4","company"
"Công ty TNHH Hồ Chiểu Ðào Huệ","số 109, xóm 3","thôn Giao Uy, xã Bà Điểm, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","029766654162","0947724736","hotro@hochieuðaohue.vn","hochieuðaohue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0348687219","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Kim","số 963, hẻm Thọ Tường","đường Kim Duệ Hảo, phường 1, quận Bình Thạnh","Hồ Chí Minh","VN-SG","700000","84","02907311841","0966733654","hotro@vokim.vn","vokim.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0343003215","UIT.IS336.L12.4","company"
"Công ty TNHH Uông Minh","số 896, xóm Nghi Nghi","thôn 2, xã Tân Thông Hội, huyện Củ Chi","Hồ Chí Minh","VN-SG","700000","84","02283993308","0998847429","hotro@uongminh.vn","uongminh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0336699852","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Quế","số 927, xóm 9","thôn Nguyệt San, xã Tân Thạnh Tây, huyện Củ Chi","Hồ Chí Minh","VN-SG","700000","84","0299777909234","0943419946","hotro@leque.vn","leque.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0382368810","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Quảng","số 716, xóm Dương Trà","thôn Hùng Quế, xã Gia Minh, huyện Thủy Nguyên","Hải Phòng","VN-HP","180000","84","022554112990","0884900542","hotro@phanquang.vn","phanquang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0250926068","UIT.IS336.L12.4","company"
"Công ty TNHH Thục Cơ Cường","số 70, hẻm 5","đường Đức Vân, phường Vạn Mỹ, quận Ngô Quyền","Hải Phòng","VN-HP","180000","84","022554399715","0993745091","hotro@thuccocuong.vn","thuccocuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0254067772","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Dân Trâm","số 242, đường Thống Chi","phường Đông Hải 1, quận Hải An","Hải Phòng","VN-HP","180000","84","02253749973","0883889503","hotro@vodantram.vn","vodantram.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0254739395","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Hùng","số 902, đường Vũ Khuyên Ðài","phường Thành Tô, quận Hải An","Hải Phòng","VN-HP","180000","84","02253774598","0995280097","hotro@vohung.vn","vohung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0239350087","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lĩnh Thắm Triệu","số 170, xóm 5","thôn 10, xã Phú Cường, huyện Ba Vì","Hà Nội","VN-HN","100000","84","02454152682","0880604576","hotro@nguyenlinhthamtrieu.vn","nguyenlinhthamtrieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0120417013","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Thông Chính","số 878, đường Tôn Khải Thương","phường An Phú Đông, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","021844538413","0910707500","hotro@vothongchinh.vn","vothongchinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0369290062","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Văn Thiếu","số 986, đường Nguyễn Quốc Phúc","phường Thụy Khuê, quận Tây Hồ","Hà Nội","VN-HN","100000","84","024777933790","0945060326","hotro@huynhvanthieu.vn","huynhvanthieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0117848927","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lễ Đức","số 975, hẻm 31","đường Trần Quốc Phương, phường 15, quận Quận 5","Hồ Chí Minh","VN-SG","700000","84","027554189567","0913303031","hotro@nguyenleduc.vn","nguyenleduc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0374975284","UIT.IS336.L12.4","company"
"Công ty TNHH Ngô Giang","số 810, đường Ngô Lệ Lâm","phường Lãm Hà, quận Kiến An","Hải Phòng","VN-HP","180000","84","02253915770","0937227931","hotro@ngogiang.vn","ngogiang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0237714156","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Nghĩa Ðắc","số 87, xóm 2","thôn Chiến Nhã, xã Thanh Thùy, huyện Thanh Oai","Hà Nội","VN-HN","100000","84","02444587712","0961108457","hotro@nguyennghiaðac.vn","nguyennghiaðac.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0181170884","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðào Bích Quang","số 173, xóm Thùy Kiến","thôn 4, xã Phú Xuân, huyện Nhà Bè","Hồ Chí Minh","VN-SG","700000","84","02183967109","0996331128","hotro@nguyenðaobichquang.vn","nguyenðaobichquang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0356672233","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lan","số 641, xóm 5","thôn 4, xã Văn Đức, huyện Gia Lâm","Hà Nội","VN-HN","100000","84","0247146296","0936443778","hotro@nguyenlan.vn","nguyenlan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0132435753","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Quốc Hương","số 413, đường Nguyễn Uy Thùy","phường Cát Bi, quận Hải An","Hải Phòng","VN-HP","180000","84","0225777919167","0884174024","hotro@phanquochuong.vn","phanquochuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0282323864","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Hào Phượng Hảo","số 230, đường Trần Kiều Hảo","phường Phan Chu Trinh, quận Hoàn Kiếm","Hà Nội","VN-HN","100000","84","0243800822","0963967190","hotro@nguyenhaophuonghao.vn","nguyenhaophuonghao.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0149581291","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Lĩnh Hữu Tâm","số 298, đường Phạm Toản Chiêu","phường Nhật Tân, quận Tây Hồ","Hà Nội","VN-HN","100000","84","02454105100","0991616266","hotro@phanlinhhuutam.vn","phanlinhhuutam.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0127624138","UIT.IS336.L12.4","company"
"Công ty TNHH Hoàng Siêu Bạch Ðài","số 684, đường Trung Thu","phường 4, quận Quận 3","Hồ Chí Minh","VN-SG","700000","84","026044553373","0889571918","hotro@hoangsieubachðai.vn","hoangsieubachðai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0332224960","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Sỹ Chiêu","số 906, hẻm Công Ðức","đường Trần Vương Chiến, phường Tân An, quận Ninh Kiều","Cần Thơ","VN-CT","900000","84","02927162208","0912566783","hotro@transychieu.vn","transychieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1844719298","UIT.IS336.L12.4","company"
"Công ty TNHH Bùi Phúc Thùy","số 450, đường Nguyễn Thuyết Văn","phường 11, quận Bình Thạnh","Hồ Chí Minh","VN-SG","700000","84","0225777956868","0937047139","hotro@buiphucthuy.vn","buiphucthuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0374115729","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Cường Thy","số 324, xóm 1","thôn 3, xã Hòa Phú, huyện Hòa Vang","Đà Nẵng","VN-DN","550000","84","02367348732","0891080437","hotro@nguyencuongthy.vn","nguyencuongthy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0447665090","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Trương Tịnh","số 582, xóm 1","thôn Trung Hiếu, xã Đông Thuận, huyện Thới Lai","Cần Thơ","VN-CT","900000","84","029245091828","0941260143","hotro@nguyentruongtinh.vn","nguyentruongtinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1871739104","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Huệ","số 205, xóm 2","thôn 3, xã Thạnh Mỹ, huyện Vĩnh Thạnh","Cần Thơ","VN-CT","900000","84","0292777998642","0890097795","hotro@phamhue.vn","phamhue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1880873719","UIT.IS336.L12.4","company"
"Công ty TNHH Vũ Thắm Thương","số 78, đường Dương Ðài Thu","phường An Khánh, quận Quận 2","Hồ Chí Minh","VN-SG","700000","84","02203720092","0931525278","hotro@vuthamthuong.vn","vuthamthuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0339650005","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðiền Huệ Hoàn","số 410, đường Nguyễn Trinh Bạch","phường Định Công, quận Hoàng Mai","Hà Nội","VN-HN","100000","84","02424871405","0945553328","hotro@nguyenðienhuehoan.vn","nguyenðienhuehoan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0123588529","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Tân","số 740, xóm Trà Trí","thôn 3, xã Đông Hiệp, huyện Cờ Đỏ","Cần Thơ","VN-CT","900000","84","02927309194","0949618975","hotro@trantan.vn","trantan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1827808264","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Hương","số 953, xóm 2","thôn Thắm Vân, xã Mỹ Khánh, huyện Phong Điền","Cần Thơ","VN-CT","900000","84","029266409119","0959682726","hotro@danghuong.vn","danghuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1818620031","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Khang Tuyền Nhân","số 909, xóm 3","thôn 1, xã Nhị Bình, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","026922172984","0981959535","hotro@nguyenkhangtuyennhan.vn","nguyenkhangtuyennhan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0329526315","UIT.IS336.L12.4","company"
